# Epoch, Gradient_Mean, Gradient_Std
0.0 9.46592481341213e-05 0.0031852247193455696
1.0 3.874888352584094e-05 0.0021426621824502945
2.0 2.8330550776445307e-05 0.0017805120442062616
3.0 1.4584214113710914e-05 0.0015412346692755818
4.0 1.8519371224101633e-05 0.0013664186699315906
5.0 9.539182428852655e-06 0.0011971542844548821
6.0 2.160993972211145e-06 0.00103374058380723
7.0 4.004249603895005e-06 0.0009384964942000806
8.0 -5.769355084339622e-06 0.0008332053548656404
9.0 3.3734763746906538e-06 0.0007696980028413236
10.0 -5.708250682801008e-06 0.0006734657799825072
11.0 2.413228230579989e-06 0.0006562821799889207
12.0 5.426531060948037e-06 0.0006305184797383845
13.0 3.753704618247866e-07 0.000536613748408854
14.0 9.387215413880767e-07 0.0005449446034617722
15.0 4.630557668861002e-06 0.000525432697031647
16.0 3.3462076771684224e-06 0.0005021708784624934
17.0 1.3158937690604944e-06 0.00043804896995425224
18.0 7.6236847235122696e-06 0.0004688991466537118
19.0 6.438972377509344e-06 0.0004653874202631414
