# Epoch, Gradient_Mean, Gradient_Std
0.0 7.698907211306505e-06 0.0005077595124021173
1.0 2.1035561985627282e-06 0.00032485928386449814
2.0 7.547110953964875e-07 0.0002842398243956268
3.0 5.780831884294457e-07 0.00025471395929344
4.0 9.47582918797707e-07 0.00022330769570544362
5.0 4.864587026531808e-07 0.0002061897102976218
6.0 2.6397719921078533e-07 0.0001890627172542736
7.0 6.369874085976335e-07 0.00017047717119567096
8.0 1.0281783602295036e-07 0.00015804689610376954
9.0 5.314763029673486e-07 0.0001486013934481889
10.0 4.440429108854005e-07 0.00013650603068526834
11.0 4.1067616507461935e-07 0.00012819765834137797
12.0 9.672361045431899e-08 0.0001187822999781929
13.0 2.0203412987029878e-07 0.00011054474452976137
14.0 3.529506500399293e-07 0.00010508979903534055
15.0 4.2768124330905266e-07 9.861452417680994e-05
16.0 2.553954914219503e-07 0.00010007659147959203
17.0 4.3672068272826436e-07 9.371685155201703e-05
18.0 5.035837489231199e-07 9.197795588988811e-05
19.0 2.7539900315787236e-07 9.042696183314547e-05
