# Epoch, Gradient_Mean, Gradient_Std
0.0 2.3737811716273427e-09 0.004323351196944714
1.0 -5.003676140091784e-09 0.00493226433172822
2.0 8.603819878771901e-10 0.004445715807378292
3.0 -7.030394044704735e-09 0.004288989119231701
4.0 -5.2097677283313715e-09 0.003945187199860811
5.0 2.1529558136279547e-09 0.0036435078363865614
6.0 1.9830621589278508e-09 0.003391701029613614
7.0 -3.20942494802523e-09 0.0031586126424372196
8.0 6.068148650228977e-09 0.0030370918102562428
9.0 -2.4709152501856124e-09 0.0028254028875380754
10.0 -3.8611687180889476e-09 0.0027469240594655275
11.0 -3.115565139211185e-09 0.0026128427125513554
12.0 -6.01248739684479e-09 0.002464787568897009
13.0 -5.7036233513940715e-09 0.002434964058920741
14.0 -2.0256265553797448e-09 0.0022562455851584673
15.0 -2.249635144835338e-09 0.0021066335029900074
16.0 -9.467839845456183e-10 0.0020430292934179306
17.0 -3.365948852973588e-09 0.001974447164684534
18.0 -6.6400387410681105e-09 0.0018858617404475808
19.0 -4.49108483735472e-09 0.001872645691037178
