# Epoch Gradient_Mean Gradient_Std
0 0.000092 0.003295
1 0.000027 0.002362
2 0.000018 0.002036
3 0.000004 0.001780
4 0.000006 0.001592
5 -0.000001 0.001447
6 -0.000008 0.001253
7 -0.000007 0.001056
8 -0.000009 0.000981
9 -0.000004 0.000843
10 -0.000007 0.000800
11 -0.000004 0.000778
12 0.000004 0.000746
13 -0.000007 0.000632
14 0.000004 0.000660
15 0.000000 0.000612
16 0.000002 0.000604
17 -0.000001 0.000553
18 -0.000001 0.000518
19 -0.000001 0.000520
