# Epoch Gradient_Mean Gradient_Std
0 0.000120 0.003937
1 0.000057 0.002560
2 0.000042 0.002081
3 0.000027 0.001826
4 0.000023 0.001626
5 0.000016 0.001459
6 0.000007 0.001333
7 0.000005 0.001194
8 0.000003 0.001101
9 0.000005 0.001031
10 -0.000001 0.000901
11 0.000005 0.000925
12 0.000004 0.000837
13 0.000004 0.000795
14 0.000004 0.000758
15 0.000008 0.000789
16 0.000006 0.000702
17 0.000004 0.000687
18 0.000006 0.000690
19 0.000003 0.000613
