# Mean	Std	Min	Max
0.440021	0.442477	0.053756	1.791069
0.458289	0.441499	0.019539	1.696074
0.427207	0.411314	0.070918	1.712476
0.410821	0.421583	0.062182	1.716077
0.436977	0.439873	0.041070	1.670386
0.429396	0.417944	0.022161	1.750883
0.443974	0.457719	0.054796	1.698869
0.457295	0.480281	0.055317	1.823339
0.435855	0.441414	0.056502	1.827637
0.428643	0.421014	0.048653	1.668442
0.447376	0.430066	0.069314	1.839446
0.435330	0.443216	0.061459	1.620657
0.440405	0.430907	0.073860	1.801048
0.435629	0.420436	0.055145	1.761597
0.455103	0.415692	0.082150	1.672335
0.434998	0.433516	0.019877	1.750325
0.459078	0.443452	0.052363	1.749011
0.474067	0.461794	0.094721	1.833407
0.425381	0.401124	0.069777	1.671345
0.446942	0.439773	0.072733	1.848846
0.425556	0.385357	0.080342	1.553891
0.437026	0.427658	0.073119	1.699172
0.435983	0.443169	0.059084	1.693463
0.445191	0.422950	0.065046	1.650112
0.410181	0.435836	0.055624	1.714165
0.429807	0.441663	0.043998	1.691823
0.428617	0.422430	0.049936	1.698155
0.406733	0.422370	0.028408	1.704964
0.464827	0.435143	0.073491	1.686569
0.429216	0.396370	0.068269	1.599147
0.413031	0.429887	0.041530	1.678170
0.462884	0.441632	0.049950	1.693694
0.412305	0.423953	0.079460	1.753961
0.426854	0.416437	0.061746	1.676525
0.418973	0.450598	0.051012	1.751081
0.444701	0.404208	0.044358	1.478219
0.446055	0.409003	0.055641	1.723334
0.441963	0.420269	0.069885	1.506211
0.401710	0.404586	0.021215	1.524215
0.441590	0.433468	0.060430	1.604892
0.441870	0.432758	0.037449	1.626645
0.421323	0.415756	0.055541	1.677840
0.443467	0.447452	0.031224	1.829484
0.441845	0.448868	0.014307	1.683168
0.427070	0.414736	0.055692	1.688613
0.406147	0.403762	0.039019	1.670493
0.429012	0.440586	0.057838	1.818841
0.416458	0.407071	0.031549	1.637909
0.424034	0.387996	0.063460	1.564849
0.431422	0.423324	0.030758	1.731647
0.442089	0.396116	0.034269	1.587181
0.434344	0.439326	0.026850	1.643946
0.413390	0.405904	0.049435	1.663641
0.447180	0.393878	0.049975	1.548181
0.426975	0.406069	0.039866	1.662130
0.451164	0.441437	0.032894	1.756583
0.441574	0.426400	0.024762	1.713938
0.462322	0.451379	0.035009	1.751765
0.420305	0.399140	0.069662	1.584715
0.410649	0.387872	0.043690	1.561162
0.409456	0.403649	0.053825	1.654045
0.424241	0.426064	0.026831	1.507048
0.429334	0.404017	0.031896	1.667226
0.420186	0.427499	0.057689	1.717891
0.444513	0.392168	0.039944	1.510521
0.456012	0.403544	0.099878	1.701402
0.450790	0.425865	0.082378	1.702581
0.454044	0.433970	0.066518	1.594876
0.394847	0.406477	0.050845	1.513039
0.456272	0.394857	0.045832	1.644922
0.416417	0.392171	0.034806	1.561823
0.453732	0.420399	0.075945	1.649906
0.444206	0.441314	0.057264	1.732830
0.441761	0.373969	0.069393	1.463474
0.431699	0.406855	0.083411	1.598963
0.418075	0.408775	0.056231	1.658086
0.429394	0.402048	0.070071	1.550608
0.435471	0.421545	0.036640	1.649710
0.422735	0.376416	0.082332	1.524388
0.448037	0.409051	0.070113	1.589699
0.433901	0.393421	0.078876	1.662131
0.441047	0.392822	0.064277	1.646837
0.448241	0.373276	0.061815	1.524159
0.436433	0.419956	0.032808	1.618126
0.436101	0.387150	0.075976	1.658933
0.433915	0.395540	0.043981	1.534016
0.438294	0.399609	0.085778	1.501625
0.433094	0.424970	0.032089	1.698205
0.436567	0.434387	0.035015	1.741258
0.423572	0.387753	0.108265	1.490355
0.426845	0.398613	0.047970	1.653614
0.420849	0.368251	0.084266	1.539351
0.455888	0.409279	0.054058	1.692868
0.448304	0.406263	0.097438	1.673013
0.427003	0.412888	0.047409	1.588743
0.453617	0.446714	0.053481	1.807161
0.450238	0.412174	0.059726	1.765820
0.419443	0.406844	0.060877	1.680725
0.432658	0.414035	0.055405	1.708752
0.422884	0.396539	0.056303	1.624171
0.436986	0.394049	0.034751	1.706817
0.424634	0.403384	0.089680	1.696122
0.430365	0.416520	0.052799	1.624457
0.417638	0.413040	0.024276	1.548504
0.425378	0.403775	0.039529	1.628755
0.436924	0.395125	0.039899	1.582816
0.436740	0.434746	0.049651	1.777450
0.407320	0.407377	0.049906	1.562323
0.429750	0.382751	0.099306	1.484988
0.423847	0.409912	0.038485	1.741756
0.424551	0.411566	0.048990	1.630133
0.383334	0.377974	0.047271	1.498897
0.433135	0.402302	0.072735	1.701223
0.424123	0.432068	0.069063	1.779655
0.414154	0.395542	0.042714	1.556509
0.455537	0.418235	0.063089	1.679308
0.411726	0.389621	0.040418	1.557762
0.410391	0.418326	0.054885	1.643658
0.462294	0.423627	0.066008	1.719942
0.446492	0.432327	0.080834	1.612672
0.422060	0.374492	0.059286	1.469926
0.426427	0.390463	0.035759	1.609959
0.433975	0.408742	0.075782	1.761047
0.433420	0.422748	0.051493	1.701545
0.427954	0.382708	0.056270	1.502113
0.405592	0.362418	0.096253	1.466445
0.409947	0.382460	0.059219	1.574780
0.447011	0.405331	0.074009	1.624278
0.422987	0.387291	0.056143	1.582387
0.423912	0.393908	0.108829	1.603936
0.404809	0.351612	0.088413	1.425398
0.467236	0.392729	0.110552	1.620483
0.417863	0.413160	0.055833	1.685884
0.429681	0.382710	0.081744	1.545585
0.420914	0.367776	0.041268	1.496080
0.435476	0.380411	0.092368	1.584754
0.428575	0.407533	0.042952	1.636378
0.401072	0.400662	0.037516	1.641916
0.417301	0.413780	0.071178	1.468658
0.423510	0.419026	0.054487	1.670702
0.451122	0.390002	0.059093	1.624766
0.427328	0.410617	0.055719	1.581678
0.447552	0.416275	0.082166	1.664832
0.469504	0.452524	0.079379	1.645552
0.408627	0.370520	0.043293	1.525539
0.415251	0.396475	0.093736	1.520460
0.412839	0.387271	0.030423	1.509423
0.405692	0.387538	0.060904	1.429823
0.414760	0.390182	0.049848	1.472650
0.416407	0.383971	0.052651	1.506445
0.425568	0.390464	0.061704	1.594913
0.432314	0.412770	0.039861	1.572699
0.421801	0.385365	0.053101	1.557278
0.436283	0.388931	0.068458	1.570324
0.425419	0.387084	0.048404	1.483838
0.424579	0.399793	0.049657	1.536494
0.457438	0.370684	0.087661	1.511035
0.424628	0.381633	0.060169	1.531697
0.416636	0.367178	0.058844	1.472430
0.462062	0.414596	0.065231	1.518267
0.445735	0.415835	0.058006	1.573542
0.451034	0.368129	0.102194	1.525122
0.427704	0.412471	0.054058	1.688326
0.419530	0.365267	0.054277	1.525460
0.446260	0.374559	0.086393	1.444216
0.429567	0.374754	0.060403	1.506373
0.435834	0.375568	0.045338	1.526012
0.417742	0.381611	0.064776	1.551415
0.422483	0.377929	0.046015	1.512319
0.395877	0.379695	0.084954	1.628035
0.397133	0.364523	0.051551	1.360995
0.437206	0.403512	0.045671	1.662402
0.407516	0.388852	0.038120	1.580474
0.411698	0.376506	0.048626	1.554406
0.410544	0.368089	0.081823	1.497974
0.446754	0.357189	0.109031	1.537741
0.435507	0.378977	0.122665	1.597573
0.452806	0.380940	0.073828	1.551991
0.393014	0.390319	0.047883	1.594693
0.419067	0.379438	0.038790	1.513552
0.430218	0.422277	0.068040	1.599724
0.408176	0.417139	0.046603	1.629685
0.438100	0.391780	0.049542	1.483966
0.435440	0.378782	0.087870	1.554918
0.427413	0.377360	0.068266	1.425843
0.438452	0.375111	0.057408	1.517518
0.423478	0.391021	0.024623	1.637259
0.421086	0.385825	0.060507	1.501837
0.423601	0.393241	0.041657	1.480836
0.445511	0.372123	0.067675	1.411410
0.407921	0.367209	0.058605	1.386247
0.431817	0.378461	0.054236	1.474709
0.433762	0.381755	0.052969	1.571683
0.424012	0.364178	0.094036	1.436744
0.400996	0.363299	0.073437	1.482328
0.433249	0.363616	0.081142	1.445961
0.411314	0.415920	0.033269	1.670622
0.404916	0.365091	0.062865	1.531727
0.451481	0.392524	0.045477	1.508404
0.455155	0.399302	0.066848	1.625890
0.443089	0.396368	0.090572	1.689061
0.425368	0.416110	0.049512	1.657231
0.445264	0.431093	0.026243	1.661725
0.389412	0.333316	0.086030	1.436664
0.433222	0.410013	0.071602	1.709224
0.416386	0.361436	0.075150	1.591041
0.414407	0.364378	0.029935	1.401396
0.448590	0.414338	0.057435	1.642635
0.413925	0.355233	0.060928	1.470164
0.440095	0.371242	0.077139	1.457224
0.408983	0.389745	0.025321	1.497868
0.441790	0.407236	0.087450	1.524364
0.406302	0.392600	0.045094	1.622073
0.419850	0.357492	0.092527	1.472899
0.402023	0.346230	0.037023	1.429832
0.431142	0.363789	0.112306	1.447976
0.427062	0.391897	0.092358	1.496642
0.452683	0.409353	0.047433	1.644283
0.412990	0.355460	0.051479	1.481108
0.470747	0.382606	0.075803	1.599061
0.436764	0.344170	0.099785	1.377917
0.432999	0.359590	0.086534	1.474582
0.441974	0.348530	0.082544	1.427856
0.399634	0.326556	0.120912	1.264249
0.427646	0.317791	0.073330	1.403199
0.453371	0.393776	0.074239	1.581273
0.436095	0.351902	0.082730	1.356630
0.423624	0.340369	0.085552	1.310459
0.424475	0.356594	0.113939	1.361017
0.399891	0.354756	0.048753	1.451938
0.395660	0.373624	0.050278	1.414182
0.408895	0.348538	0.083440	1.380821
